Year,Month,log_flux
2016,9,1.81984135
2016,10,1.657813125
2016,11,1.551540729
2016,12,1.184954667
2017,1,1.07776222
2017,3,1.922912658
2017,4,1.847557279
2017,5,2.255873043
2017,6,2.008069874
2017,7,2.188182377
2017,8,2.336507513
2017,9,2.408285379
2017,10,1.677103147
2017,11,1.244434554
2017,12,1.183176744
2018,1,1.231394832
2018,2,1.191622972
2018,3,1.804689458
2018,4,1.927158519
2018,5,1.698502918
2018,6,2.83580908
2018,7,2.602562236
2018,8,2.197452481
2018,9,1.435956991
2018,10,1.15720129
2018,11,1.219452378
2018,12,1.255228293
2019,1,1.367878558
2019,2,1.325995912
2019,3,1.491461215
2019,4,2.268758171
2019,5,2.00970154
2019,6,2.0878179
2019,7,3.420139603
2019,9,1.238254062
2019,10,1.251556461
2019,11,1.160600977
2019,12,0.971096011
2020,1,0.705432654
2020,2,0.730017678
2020,3,0.743663186
2020,4,0.871591699
2020,5,0.83627982
2020,6,1.459864095
2020,7,1.393064019
2020,8,1.463768591
2020,9,1.3291903
2020,10,1.206985863
2020,11,1.10684124
2020,12,1.022852293
2021,1,1.120972151
2021,2,0.91493881
2021,3,0.878692617
2021,5,1.036392505
2021,6,0.982153004
2021,12,0.780962208
2022,1,0.666849891
2022,2,0.441912711
2022,3,0.468279449
2022,4,0.773131297
2022,5,1.166229074
2022,6,1.170347444
2022,7,1.099776525
2023,1,0.596302518
2023,2,0.516428003
2023,3,0.503855196
2023,4,0.68825643
2023,5,0.763724987
2023,6,0.738911357
2023,7,0.790871521
2023,8,0.927446509
2023,9,0.94133654
2023,10,1.092051226
2023,11,0.693993459
2023,12,0.721430467
